age,income,debts,payment_history,employment_status,credit_score,creditworthy
56,37214.19850888845,28889.400055930375,0.40129454862879965,unemployed,700.3532153549006,0
69,57130.484160380154,23533.937974589568,0.6395019018137161,self-employed,760.0357609265557,0
46,59486.81324963451,25996.436407250352,0.4732907373018863,unemployed,695.269494664617,0
32,42887.32737344052,32716.967915225578,0.02123049167397284,employed,566.7185114228538,0
60,38423.42063910687,18500.337088291388,0.8143831076479375,employed,530.9199662735165,0
25,74142.8099866396,8845.799964697939,0.11315578275371929,unemployed,637.0112869444469,0
38,53412.4381359808,33011.29852178573,0.4640899308913634,unemployed,629.0984110868951,1
56,59539.51626067607,14702.217479692816,0.5799007909274971,unemployed,646.2741148492912,0
36,37668.859822581086,13096.618766560954,0.7055060541932908,employed,753.2769757460371,0
40,31710.733002167093,2038.022446654486,0.41079653528794946,unemployed,562.2446140453803,0
28,41458.25338261834,25712.830531642965,0.7355484870305314,employed,584.7995052574736,0
28,48139.67918915005,3785.4737544777854,0.13135008471857024,unemployed,629.9317724812364,0
41,34036.69989773977,12497.411923082633,0.653445548270779,unemployed,585.161545333794,0
53,49852.327870244255,25882.36794515059,0.8263389275857029,self-employed,416.8058508329333,0
57,24672.422178972498,27219.21252408372,0.8894439728375012,employed,553.9145280092857,0
41,33199.28866295192,13482.958517817664,0.5795664959538892,unemployed,501.599350340878,0
20,60063.668724153125,18658.466730075947,0.3128951980750373,employed,736.8086011396363,0
39,59056.85780416841,11274.05473593847,0.16335651171362642,self-employed,517.2692544582576,1
19,44121.848519197,14516.032121888173,0.34555875287744486,employed,595.7728009010057,0
41,34733.5353638457,22662.15260152907,0.5399743731544397,employed,605.1682502496361,0
61,34588.94672710984,14983.533212035423,0.19633022399156053,employed,649.8606808926764,0
47,44400.97631088029,17557.84959824331,0.9525149056930929,employed,626.006298194949,0
55,59667.77737467937,5352.933183824331,0.8971354288729094,employed,631.3671154864109,0
19,63923.685370164865,31329.561648061375,0.03295719486543125,employed,512.0475030420469,1
38,42552.02396777047,25100.665931710657,0.5619617982303888,employed,572.573127870152,0
50,32697.613610228243,27929.05371837202,0.7893087902466132,unemployed,461.31835490509445,0
29,54017.654567995,32904.25324616862,0.24539195993400698,unemployed,637.8870740354939,0
39,37646.97544061226,11747.871244542835,0.5238962323927439,employed,522.9975647180756,0
61,42226.210417081966,16416.055169719762,0.405991882409379,employed,734.853574679488,0
42,69879.14135655557,1051.6563241778895,0.19654626421807642,unemployed,402.240151178594,0
66,62406.73142848652,51404.22910102237,0.6147373838758227,self-employed,792.44538675013,0
44,52369.614683771775,18504.14684682624,0.993692175406831,unemployed,623.3554982662938,0
59,30921.214983309157,30387.278999149123,0.36528726027994485,self-employed,569.3500796916676,0
45,53170.948512059884,7618.388556645412,0.552379008264467,employed,655.0483912421952,0
33,65939.8593618129,29963.884256430094,0.32785468162150055,employed,746.1986673613023,0
32,44365.495013516964,38575.90876649666,0.8769486168024969,unemployed,788.6125034186712,0
64,70266.71134980072,19397.192509720186,0.8646027004236931,unemployed,599.553361906319,0
68,69391.1793427731,9891.185034103986,0.17877338794797026,unemployed,400.49755912339407,1
61,74955.9924821521,18612.03599054464,0.8999488742380607,employed,591.5799125347143,0
69,54578.64689797029,0.0,0.1515087110560671,unemployed,547.0427378454248,1
20,58810.87549709019,19621.13298978158,0.09543995962533425,unemployed,665.5645973500651,1
54,71212.80932496635,28209.67139312996,0.6529346157015319,self-employed,558.6639592231428,1
68,56710.90905603464,19642.423556264857,0.385904105869895,employed,486.84312366067934,0
24,42481.48838314681,17158.604453110325,0.5307405934618707,employed,547.7181387591319,0
38,43271.85745208208,25275.68116112033,0.6525707819374634,employed,736.5509271124548,0
26,53578.32430660609,26040.248469495527,0.05283723779298488,unemployed,613.0292493983436,0
56,30641.57867080672,3400.9443749481725,0.2929531710909934,employed,698.2819991830052,0
35,47851.11626953711,20888.229622787883,0.4609063117688671,unemployed,558.6406665633779,0
21,66448.2067734538,44359.85124229243,0.2665874098059319,self-employed,717.7140840975331,0
42,17131.192232520785,6649.837543519761,0.04897138428552095,employed,513.1274586086628,0
31,73017.23152691772,19145.811671669337,0.08667657323105338,self-employed,524.2899182176304,0
67,66835.61328054739,39417.46122051703,0.8017478687537335,self-employed,736.676650026833,0
26,43103.530762542854,31041.751565436753,0.911386759212926,employed,732.1458020014297,0
43,58150.862418077144,14866.033192239385,0.15223330243044886,employed,409.3092306812715,0
19,50047.2159035949,22061.353796226038,0.2492619572914857,unemployed,699.4934730588722,0
37,68449.85552658024,19978.883200151766,0.6522494047310696,self-employed,466.0879364973677,0
45,64740.247141549116,12519.281956783325,0.9542717760924472,self-employed,706.4022090259663,1
64,28998.93915225486,19257.478925069176,0.2995897091332711,unemployed,703.7275353959216,0
24,58808.93620196265,17200.338671934707,0.8552136262360012,employed,757.6632593159743,1
61,46915.582195351286,21127.489380767496,0.5060246444503764,self-employed,770.3811408153581,0
25,51242.488557771496,12516.168193089667,0.9565586390807804,unemployed,623.5638681228656,0
64,39077.42148545277,7233.817997553389,0.1362586624281913,self-employed,575.2201652811586,0
52,76222.05603681253,19587.192266076294,0.9736723982079865,self-employed,597.8899921828108,0
31,65600.92729853863,37151.1821817878,0.44097862782950803,unemployed,587.4278180272456,0
34,38903.43254040549,20822.029262627966,0.9529383904262617,self-employed,574.039824217641,0
53,29980.84089634651,16684.062210684548,0.45869021705151924,unemployed,581.3273410895622,0
67,44214.910535332274,27540.858050384984,0.5300821341205781,unemployed,712.7287648066144,0
57,56517.53969136959,18416.803874046214,0.804775009777321,self-employed,470.5456514406401,0
21,53603.08765919335,38680.3292495911,0.722628500739394,self-employed,707.9949215930418,0
19,68796.99237152365,19960.874907049216,0.6196033204172855,employed,599.1566022489492,0
23,61848.795832712785,27004.970631581633,0.416980023589556,employed,452.7751570399798,0
59,64543.5353862936,12453.956176067271,0.7924383673996058,self-employed,659.4499750344796,1
21,54902.83100915656,25030.892533366627,0.9482283332893204,employed,444.6791541178037,0
46,29160.519046835147,22750.934769437543,0.009810896943026837,employed,608.6720725869284,0
35,47064.52203279648,19434.93875340792,0.5878450964526611,unemployed,812.0243307296897,0
43,65901.34609862999,14982.422388302797,0.8659809289783484,self-employed,555.1755643905591,0
61,49227.15607213031,13619.698343476255,0.6531125373455573,employed,562.5505938946161,0
51,57546.3555293562,22823.526639796524,0.8008292578333368,employed,678.6448787882653,1
27,45218.775271308004,26289.391096964737,0.8950611038489854,employed,663.5177136491183,1
53,34552.82227187233,18728.372037058685,0.7509510158530579,self-employed,663.5613242815691,0
31,48149.83903930835,22872.679291207925,0.7170174013647661,unemployed,554.5121782417244,0
48,54635.711645489806,19620.853218672302,0.9647458913639183,self-employed,647.4618771800845,0
65,40164.684208078346,20985.260249053877,0.8636846578915727,unemployed,543.0690108076342,0
32,46464.33132714997,17995.550173227748,0.8153778695827738,employed,646.6674984028582,0
25,35908.05137021026,20179.725793683083,0.08640336047187613,self-employed,587.0083266788114,0
31,66788.67376346144,46980.404568174265,0.23902988313941786,unemployed,676.3833705063856,0
40,45583.16363617949,23116.342988074248,0.5567560243250895,employed,690.4252756227442,0
57,71791.33317689275,26452.969584310427,0.7095601049748137,employed,643.5490892294822,0
38,72931.21775811363,24380.23605328097,0.3032148933004769,self-employed,523.0875961104327,0
33,48784.31052917385,17371.831767029405,0.09332811312082334,unemployed,449.22004567028387,0
62,34873.26901178976,32939.89213291668,0.31109918681524773,employed,486.7415163411896,1
35,18711.531833999943,17088.362295736588,0.7710291805805192,employed,502.6605931337657,0
64,27919.443904598127,30550.545489425513,0.8774010293413731,employed,850.0,1
41,29392.4776265201,16657.930019335512,0.9129036483443428,unemployed,665.9290825617402,0
43,70677.04441192257,10400.27480855959,0.37886667914414773,unemployed,622.6492448900083,0
42,51737.36880840419,23653.96208236193,0.3725385748601965,employed,544.6910563699789,0
62,55844.067861379815,8953.316438978933,0.40670747097179105,unemployed,693.7537628841939,0
58,16693.68486597311,25356.40225016609,0.3758094694214478,employed,580.7455376205224,0
46,32030.503561741076,8058.413439086833,0.6661966075072097,employed,634.199430914293,0
32,63306.196646694305,16809.919695271466,0.3583232621319927,unemployed,659.9049503584954,0
62,54301.6116857388,5682.703034752585,0.020343936614245828,unemployed,641.671598909081,0
18,47791.92081971604,48241.67009402729,0.43902460068787175,self-employed,606.8285107942909,0
42,58472.63537900184,3460.4044038368556,0.22415206617858774,self-employed,498.54119775247705,0
24,74536.96709203723,20098.137403964043,0.028807137784619963,unemployed,605.9883369860793,0
26,46684.36304694424,31433.04274330014,0.4708429515340482,unemployed,708.6371963498334,0
41,51040.54703987104,30363.859085870252,0.20595455919829309,unemployed,675.4073885200664,0
18,52888.953780969576,28513.421221731372,0.4527418148397341,unemployed,631.7912404002454,0
61,85881.64452910988,16827.716117785243,0.2777499866102865,employed,681.5240805615977,0
25,18509.656033714615,33510.88946337002,0.6037088702804332,employed,480.24829386847176,1
41,60248.34522183212,29133.910908021826,0.9908773868739594,self-employed,583.9871086318334,0
28,48277.966268614044,22122.996176604767,0.5472319207116649,unemployed,595.9050877530932,0
68,58501.575892762696,22405.80757726592,0.64689591689277,self-employed,492.8907267546044,0
34,40139.411690079134,16960.773523846274,0.9192757577512013,unemployed,651.4767174399258,1
25,49265.524537123245,10903.479741669616,0.3740004177250916,unemployed,668.277563680634,0
52,60671.158691982426,32371.509754787163,0.16654844978558303,unemployed,616.412028165831,0
52,96693.65301565762,33122.07993601532,0.2827972829305533,employed,620.096224960999,0
50,62120.54284103107,11158.908589700786,0.40279494071454924,self-employed,540.5150673738725,1
22,37279.01602954237,18462.14834853808,0.6450176812558382,unemployed,541.5357716860564,0
59,43643.604769659454,18565.76783541071,0.00458802942972103,self-employed,463.7593117499446,0
56,43198.78837424219,19673.440962596902,0.8533832147669843,self-employed,581.4783779258757,0
58,23065.352410549775,20642.94878587582,0.07609397304983045,employed,540.3445609629698,0
45,45048.64712447844,29468.614616461797,0.9006551489185505,employed,519.7150364495133,1
24,60992.43622732618,12527.826915132564,0.9494345212048988,unemployed,605.5410257695473,0
26,30886.518213848074,11536.5300848734,0.990102794112134,self-employed,562.9188572499263,0
25,65727.23976575889,32366.19742142975,0.8095101844068776,employed,459.26676273868406,0
29,57316.62231626507,15373.552581187017,0.1418555259401526,self-employed,544.5901328895667,0
51,38986.50017043443,7369.646464229338,0.7061670432251863,self-employed,586.7564508999975,0
50,47877.05543993229,15148.700579001299,0.2033212906081765,unemployed,490.2785262875081,0
65,73974.8271146155,16699.472647559993,0.897127835580404,self-employed,635.1076627482316,1
40,61003.217202587985,35549.62727725765,0.31660592565534473,employed,607.5632626228654,0
41,50131.75482347222,29248.262123767374,0.32679597707504116,unemployed,512.5247605666669,0
54,46434.75024558524,31475.206166322423,0.9176532959148667,unemployed,677.9573497123877,0
52,51149.13605677489,28199.73642346786,0.013231070783704557,unemployed,738.7402579689146,0
61,42323.54663086545,29462.43671615314,0.19396615148356977,employed,592.9166613270181,0
57,18428.75741421478,13119.17873419682,0.42193226656345506,unemployed,578.870882330327,0
39,80632.66865802096,18013.978446465157,0.700721567310193,self-employed,568.1148080989734,0
44,52329.874987991025,10100.846869764511,0.6475661660447354,unemployed,547.4954851716036,0
52,55972.208976838054,17895.119694629666,0.6694118751671491,employed,506.39327544984025,0
18,49131.38375184637,26841.04990934741,0.8800220284106641,employed,611.4951128997707,0
52,38973.24798913118,21345.832848122467,0.12103041229325662,unemployed,523.8286591037087,1
54,47211.13278576844,33114.80818960295,0.5221616962187704,self-employed,340.0491594881446,0
64,26009.078567085333,8585.842077727808,0.7254776891024886,employed,803.1458022765609,0
31,84156.29747079956,25002.383506982398,0.6361184429241645,employed,769.734209943289,0
20,31482.32002366406,7516.971981306819,0.4483141199392675,employed,611.1564322704594,0
18,34520.505742292306,20941.76469173642,0.017114585872163968,unemployed,470.03396675096764,0
22,43396.111934204,27403.334225564788,0.06045226564788464,employed,829.9084772618564,0
43,69321.13587278567,17854.974331757807,0.11894132685383663,employed,651.9526644086518,0
31,50217.63498893981,25511.26604086956,0.34322775283536355,employed,563.3156679913933,0
56,31457.963059543064,10402.67665167066,0.11765345266714688,unemployed,751.3113504248267,0
